week,tier,tier_rank,orders_placed,true_consumer_demand,pct_vs_baseline
38,exporter,2,1019.6,1044.8,0.0177
39,exporter,2,1062.2,1053.3,0.0603
40,exporter,2,1030.7,1050.1,0.0289
41,exporter,2,1076.4,1047.7,0.0745
42,exporter,2,1037.0,1051.1,0.0352
43,exporter,2,1044.4,1051.1,0.0425
44,exporter,2,1060.5,1037.0,0.0586
45,exporter,2,1048.7,1062.7,0.0469
46,exporter,2,1004.5,1053.9,0.0027
47,exporter,2,1131.3,1048.8,0.1293
48,exporter,2,1016.5,1050.1,0.0146
49,exporter,2,1043.0,1047.5,0.0411
50,exporter,2,1056.5,1059.0,0.0546
51,exporter,2,1040.7,1060.2,0.0388
0,farm,3,1009.2,1009.2,0.0111
1,farm,3,1009.2,1003.2,0.0111
2,farm,3,1009.2,1000.9,0.0111
3,farm,3,1009.2,1009.1,0.0111
4,farm,3,967.2,1002.6,-0.031
5,farm,3,1011.0,1000.8,0.0129
6,farm,3,1062.6,999.2,0.0645
7,farm,3,929.9,1002.6,-0.0684
8,farm,3,1021.5,994.0,0.0234
9,farm,3,992.2,1009.7,-0.006
10,farm,3,1027.6,993.1,0.0295
11,farm,3,927.9,999.3,-0.0704
12,farm,3,1141.0,997.4,0.1431
13,farm,3,824.2,1001.8,-0.1743
14,farm,3,1114.7,1009.7,0.1167
15,farm,3,948.3,1005.4,-0.0499
16,farm,3,1040.7,1006.8,0.0426
17,farm,3,1038.0,1007.7,0.0399
18,farm,3,951.9,996.8,-0.0464
19,farm,3,1037.9,999.4,0.0398
20,farm,3,1004.3,999.5,0.0061
21,farm,3,929.0,1011.8,-0.0693
22,farm,3,1059.2,991.0,0.0611
23,farm,3,981.5,995.9,-0.0167
24,farm,3,1087.1,1004.2,0.0891
25,farm,3,817.6,1001.2,-0.1809
26,farm,3,1117.0,1056.6,0.1191
27,farm,3,1019.0,1052.3,0.0209
28,farm,3,954.1,1052.8,-0.0441
29,farm,3,1406.8,1044.6,0.4094
30,farm,3,803.4,1039.3,-0.1951
31,farm,3,1114.5,1045.8,0.1166
32,farm,3,990.2,1050.3,-0.0079
33,farm,3,1039.9,1033.3,0.0418
34,farm,3,1100.7,1050.5,0.1028
35,farm,3,1047.0,1058.3,0.0489
36,farm,3,918.4,1048.1,-0.0799
37,farm,3,1224.7,1050.3,0.2269
38,farm,3,1023.7,1044.8,0.0256
39,farm,3,969.0,1053.3,-0.0292
40,farm,3,1110.0,1050.1,0.1121
41,farm,3,995.4,1047.7,-0.0027
42,farm,3,1127.6,1051.1,0.1297
43,farm,3,992.9,1051.1,-0.0052
44,farm,3,1052.6,1037.0,0.0545
45,farm,3,1078.6,1062.7,0.0806
46,farm,3,1035.6,1053.9,0.0375
47,farm,3,954.9,1048.8,-0.0434
48,farm,3,1273.4,1050.1,0.2757
49,farm,3,887.8,1047.5,-0.1105
50,farm,3,1072.7,1059.0,0.0747
51,farm,3,1071.6,1060.2,0.0735
