institution,latitude,longitude
Pontificia Universidad Catolica de Chile,-33.615323,-70.592057
THWS,49.749233,4.608808
PTIT,56.2922,38.17687
SUFE,46.57076,9.367091
Koç University,38.663005,39.224254
NAIST,59.198025,26.101736
Brandenburg University of Technology,40.924564,40.275741
IIT (ISM) Dhanbad,23.795645,86.430435
University of Fribourg,40.924564,40.275741
University of Erlangen–Nuremberg,40.924564,40.275741
University of Peradeniya,40.924564,40.275741
Hong Kong Baptist University,22.279356,114.16255
Beijing Jiaotong University,40.991917,28.713736
IIT Dharwad,15.459698,75.01218
Central South University,41.258433,-96.015138
Chittagong University of Engineering & Technology,40.924564,40.275741
Sabancı University,25.309131,55.458865
Sungkyunkwan University,28.597706,-81.219955
KIIT Bhubaneswar,20.353861,85.816509
Xi'an Jiaotong University,28.597706,-81.219955
Islamic University of Technology,28.583294,-81.20014
University of Chittagong,40.924564,40.275741
INRIA,22.199166,78.476681
Beijing Institute of Technology,43.0849,-77.67451
Bangladesh University of Professionals,40.924564,40.275741
IIT Tirupati,13.62885,79.41914
Chongqing University,28.597706,-81.219955
University of Göttingen,40.924564,40.275741
Boğaziçi University,38.452204,27.197103
Shiv Nadar University,25.462231,81.853465
University of Wollongong,40.924564,40.275741
Jahangirnagar University,28.597706,-81.219955
AUEB,47.658055,15.901575
University of Catania,40.924564,40.275741
Jagiellonian University,28.597706,-81.219955
IIT Bhilai,21.212383,81.37318
Universidade Federal de Viçosa,38.773415,-75.312867
University of Sannio,40.924564,40.275741
Brno University of Technology,28.583294,-81.20014
Shahid Beheshti University,-0.011574,-51.089073
University of Patras,40.924564,40.275741
University of Lübeck,50.085647,8.81026
University of A Coruña,45.909729,15.019308
Nagoya University,35.1687,136.90338
UiT The Arctic University of Norway,40.924564,40.275741
University of Delhi,28.588907,77.169259
Université du Québec à Montréal,46.177412,5.574602
IIT Jammu,32.800404,74.898121
University of Düsseldorf,40.924564,40.275741
"Lifespan Digital Health, Llc",33.084753,-112.004647
HKUST,52.03157,4.168858
Kempelen Institute - KInIT,38.383797,-81.76561
National Institute of Technology Silchar,22.254099,84.908485
IMDEA Networks Institute,38.383797,-81.76561
NYU Abu Dhabi,24.453524,54.377438
Western Sydney University,46.16847,-60.081839
Mount Marty College,42.876128,-97.411371
Collin County Community College,33.162374,-96.638682
Oncosting Llc,39.291114,-76.587086
"Conox, Llc",30.128904,-95.551521
Berd Llc,44.919115,-93.413475
Northeastern Junior College,38.447826,-122.71599
Microgrid Labs Inc.,35.812702,-78.911185
Weber State University,41.193321,-111.946131
"Mycologics, Llc",39.088018,-77.238833
University Of California Santa Barbara,34.423349,-119.70343
Tortuga Agricultural Technologies,39.78839,-105.0013
Pneumonix Medical Inc.,39.32293,-76.619243
Kennesaw State University,34.03481,-84.582602
Ripple Effect Water Literacy Project,29.919795,-90.083698
University Of Wisconsin-River Falls,44.858517,-92.625968
The Foundation For Santa Barbara City College,34.423349,-119.70343
"Granted Advisors, Llc",30.015739,-90.042279
Smartbot360,33.978881,-117.372993
"Avisi Technologies, Inc",37.454324,-122.228538
University Of Nevada Reno,40.443924,-79.950757
"Marconi Society, Inc.",41.889618,-87.622991
Stowers Institute For Medical Research,39.049829,-94.532476
Boyce Thompson Institute Plant Research,42.439687,-76.496695
"Leading Edge Crystal Technologies, Inc.",42.605459,-71.155052
San Jose State University Foundation,37.340884,-121.889483
University Of Massachusetts,41.109093,-81.569245
"Lopez-Morales, Gabriel Ivan",40.712749,-74.005994
Gro Biosciences Inc,42.362905,-71.096257
Eidgenössische Technische Hochschule (Eth) Zürich,39.954907,-75.196447
University Of Maine School Of Biology & Ecology,29.649763,-82.343513
Indiana University- Bloomington,39.162847,-86.533639
San Diego Zoo Wildlife Alliance,32.713623,-117.16016
American Institute Of Physics,38.9717,-76.930007
"Wyonano, Llc",44.781837,-106.961147
"University Of Wisconsin, Madison",43.073198,-89.38219
University Of Greifswald,59.367149,18.053305
James Madison University,43.073198,-89.38219
University Of California Irvine,41.70205,-86.235621
University Of Maryland Center For Environmental Sciences,38.590862,-76.126998
St Mary's College Of Maryland,38.18804,-76.42377
Oregon Research Institute,44.08931,-123.043021
2Witech Solutions Llc,42.656446,-71.144919
University Of Puerto Rico Medical Sciences Campus,26.189512,-98.155487
North Carolina State University Dept. Of Biological Sciences,35.826275,-78.704676
Trinity University,29.424534,-98.491484
Suny College At Oswego,43.446823,-76.541443
Forcast Orthopedics Inc,39.716008,-104.92847
Fordham University,40.861407,-73.886164
"University Of Colorado, Anschutz",45.49648,-122.672864
"Higgins Environmental Associates, Inc.",42.85216,-70.95354
Foresight Science & Technology Incorporated,42.22576,-71.517863
"Unar Labs, Llc",43.641624,-70.241009
University Of Louisiana At Lafayette,30.222907,-92.018777
Sonix Medical Devices Inc.,34.13152,-83.792625
"Neutroelectric, Llc",39.944431,-75.116192
Regis College,26.099977,-80.399681
College Of Mount Saint Vincent,40.900837,-73.90656
University Of Arizona Department Of Entomology,42.441083,-76.496377
Ucla,42.388665,-71.119486
Smithsonian Conservation Biology Institute And National Zoo,36.017172,-78.890023
Stevenson University,38.318318,-122.92569
"Hawaii Institute Of Marine Biology, University Of Hawaii",19.705505,-155.08015
Direct Kinetic Solutions Llc,31.862379,-106.51622
National Collegiate Inventors And Innovators Alliance,40.915191,-81.105848
Xonotiv Llc,47.30897,-122.19332
University Of Texas Md Anderson Cancer Center,29.760496,-95.363433
Mathematical Association Of America,38.910158,-77.042579
"Rizlab Health, Inc.",40.356342,-74.594459
"Zeovation, Inc.",39.997677,-83.042147
"Drive Therapeutics, L.l.c.",35.95859,-79.05289
Appalachian State University,36.219885,-81.686062
"Blue Cranium, Llc",41.462992,-81.84729
University Of South Florida,28.062429,-82.412543
Carnegie Institution For Science Department Of Embryology,44.562668,-123.262985
"Upshot Ventures, Llc",39.77751,-105.044842
Stanford University - Biology Dept,42.649866,-73.752739
"Cactus Medical,Llc",33.682196,-117.840695
Natural History Museum Of Los Angeles,37.89027,-122.298958
Uc Davis,38.560617,-121.443725
"Florida Museum Of Natural History, University Of Florida",29.591474,-82.409896
Salk Institute For Biological Studies,32.88611,-117.243922
Clark Atlanta University,33.747527,-84.41233
"Jones, Leonard N",36.499405,-81.511379
Elizabeth City State University,36.282363,-76.214479
Harvard Oeb,32.774132,-117.069978
"Alcalde, Reinaldo Enrique",30.283803,-97.741944
Fred Hutchinson Cancer,47.603243,-122.330286
Inter American University Of Puerto Rico San Juan,48.5333,-123.083
Smithsonian National Museum Of Natural History,37.89027,-122.298958
Department Of Homeland Security,38.89765,-77.010755
United States Naval Academy,38.988058,-76.496832
Csu Fullerton,33.874221,-117.889626
"School Of Biosciences, The University Of Sheffield",47.639552,-122.400985
Cuny Medgar Evers College,40.666218,-73.957055
Southern University,30.51989,-91.18863
"Senoguard, Inc.",33.745701,-118.099752
Oakgrove Bio Llc,39.80805,-75.55764
"Ravel Holdings, Inc.",47.668319,-122.38304
Aspen Center For Physics,39.190681,-106.819217
Westwood Aerogel Co.,39.706792,-105.072589
"Filtravate, Inc.",36.042291,-94.16811
"Drone Amplified, Inc.",40.77766,-96.695901
"Emanate Wireless, Inc.",39.320932,-77.27877
Sealaska Heritage Institute,58.299759,-134.406797
Simmbion Llc,39.352508,-76.662025
Ilisagvik College,34.866124,-85.835642
Wayfarer Aircraft Research And Development Inc.,32.766048,-117.020897
Northern Michigan University,45.304142,-83.477047
"Exotanium, Inc.",42.46996,-76.408126
Transport Phenomena Technologies,42.381711,-71.102774
Northwest Indian College,48.750442,-122.480222
Adaxius Corp,42.505445,-83.462793
Observatories Of The Carnegie Institution For Science,47.650524,-122.349849
"Quantum Copper, Inc.",36.071364,-115.274894
Om Therapeutics Inc.,32.919649,-117.233398
University Of Montana,45.75204,-112.743202
"Eascra Biotech, Inc.",41.857815,-71.388788
Fort Lewis College,47.109608,-122.5561
Saint Lawrence University,44.591815,-75.161265
Carnegie Learning,40.43681,-80.00055
"Claria Medical, Inc.",37.417382,-122.101121
United States Postal Service,38.883871,-77.026465
"Bermuda Institute Of Ocean Sciences (Bios), Inc.",32.370801,-64.696285
Optave Diagnostics Llc,39.667998,-76.3792
University Of Tennessee Space Institute,35.31856,-86.10091
Cankdeska Cikana Community College,33.213555,-96.620597
"Badvr, Inc.",34.257111,-118.40271
"Biosuperior Technology, Inc.",37.34584,-122.06493
"Atheraxon, Inc.",33.87887,-84.22905
University Of Illinois Urbana-Champaign,40.11631,-88.242664
Texas A&M Research Foundation,30.60584,-96.3692
"University Of California, Davis",38.543559,-121.738961
"Ampx Technologies, Inc.",38.9926,-76.93842
University Of Minnesota Duluth,46.817092,-92.08448
Saint Olaf College,44.462631,-93.184806
The City University Of New York Graduate Center,38.905257,-77.05011
Texas A&M Univerisity,32.756763,-94.344225
Clark University,42.623537,-74.671697
Dine College,47.417271,-105.587722
Aavso,42.390735,-71.142217
Benedictine University,41.776984,-88.094631
"Sentiomed, Inc.",40.753569,-111.831588
"Lexel Synergetics, Inc.",45.560539,-122.812692
"Insu Health Design, Inc.",18.20547,-67.15216
Board Of Trustees Of Illinois State University,40.5104,-88.984531
"Wong, Biji",50.737371,7.098376
Centre College Of Kentucky,37.142304,-85.693016
Wolfzyc Llc,32.879772,-117.236665
American Museum Of Natural History,41.306065,-72.925772
"Nuthatch Robotics, Inc.",42.439961,-71.298432
Alabama State University,32.366642,-86.296227
American Mathematical Society,41.837048,-71.412396
Dalton State College,40.793438,-77.860333
Startle Innovation Llc,40.71866,-74.00813
"Sld Photonics, Llc",41.31837,-105.569526
"Verpond, Inc.",33.075926,-117.246994
Barry University,25.773357,-80.1919
Auxilium Health Inc,41.499262,-81.61813
Manhattanville College,41.03213,-73.71575
"Phlux Technologies, Inc.",40.42882,-79.83948
Roosevelt University,43.34912,-84.19
"Raydiant Oximetry, Inc",37.769017,-121.959978
"Earnest Agriculture, Inc.",40.302693,-88.152781
Bradley University,40.696751,-89.615922
Rt Microdx Inc.,42.340795,-71.130135
"Mana Battery, Inc.",39.741681,-104.986109
Femtofluidics Incorporated,44.89516,-93.53691
Allen Institute,47.625314,-122.338925
"T33 Dental, Inc.",42.36026,-71.08566
"Surgical Vision Systems, Inc.",39.286633,-76.619602
Mathematical Sciences Research Institute,37.880459,-122.244068
Asterion Ai Inc.,32.922325,-96.785341
Research Foundation For Mental Hygiene Inc,40.842782,-73.94435
Maia Analytica Llc,44.60121,-123.296914
"Qunnect, Llc",40.698172,-73.97122
Johnson & Wales University,42.072522,-72.220299
Regents Of The University Of Michigan - Flint,43.018659,-83.690193
Moravian University,40.85612,-92.86159
American Institute Of Mathematics,34.135576,-118.127226
"Window Therapeutics, Inc.",42.313357,-71.039377
Eigenpatterns Inc.,37.259051,-121.897036
Claflin University,33.49255,-80.862701
Daemen College,42.966999,-78.787714
Behaivior Llc,40.458815,-79.91725
Smithsonian Astrophysical Observatory,42.37257,-71.120149
Eastern Illinois University,39.496034,-88.175809
University Of Colorado At Denver,39.745221,-104.835966
"Aquapao, Inc.",40.346138,-74.674039
Rollins College,28.595943,-81.351021
Chromatir Technologies Llc,40.789812,-77.854547
Error Corp.,38.985428,-77.090526
Digitouch Health Llc,41.08277,-73.81437
"Grid Modernization Solutions, L.l.c.",40.753569,-111.831588
"Canetia Analytics, Inc.",32.712981,-117.164097
St Peter's University,40.72157,-74.047455
"Dynamic Locomotion, Inc.",42.5831,-76.370449
Crookes Research Llc,43.051525,-82.521824
University Of Tulsa,36.149511,-95.946615
Institute For Advanced Study,40.331799,-74.668092
Los Alamos National Laboratory,33.89767,-117.910744
"Invvax, Inc.",33.819408,-118.048062
Marion Technical College,40.579249,-83.089536
"Cox, Erin",42.046792,-87.681841
"Martinez, Raquel Angelina",33.684617,-117.82634
College Of Charleston,32.789284,-79.938628
Roger Williams University,41.646952,-71.26071
"Foundation For Applied Molecular Evolution, Inc.",29.781585,-82.47305
The University Of Texas At Austin,30.268072,-97.742806
Monmouth College,40.91739,-90.63615
Ofm Research,47.682269,-122.301494
"Eino, Inc.",40.755809,-73.95621
"Northwest Research Associates, Incorporated",47.661489,-122.316276
University Of North Dakota Main Campus,47.924469,-97.031592
"Coravie Medical, Inc.",44.90405,-93.37842
St. John Fisher College,41.449984,-87.470183
"Synmatter, Llc",28.530357,-81.139087
California Institute Of Technology (Caltech),37.870443,-122.274048
Massachusetts Institute Of Technology (Mit),48.853495,2.348392
Wepan Inc,38.906983,-77.042937
Ronin Institute For Independent Scholarship Incorporated,40.841912,-74.197938
University Of Memphis,35.12129,-90.03976
The Allen Institute For Artificial Intelligence,47.64823,-122.3323
Molloy University,40.657363,-73.645124
National Audubon Society,40.728967,-74.005494
"Zbeats, Inc",40.908584,-73.112094
Klamath Community College,42.194314,-121.698847
"Traxyl, Inc.",38.79017,-77.598153
Qatch Technologies Llc,35.95721,-79.106228
University Of Wisconsin,43.210197,-90.294803
University Of Central Florida,38.21929,-85.76141
Sentinel Environmental Group Llc,29.685242,-95.476064
Rowan University,39.708402,-75.117948
West Virginia State University,38.37912,-81.765085
"Lapovations, Llc",36.042824,-94.169323
Mcgill University,39.147394,-84.477529
Power Environmental Energy Research Institute,34.103457,-117.876047
University Of Redlands,34.062318,-117.164176
Suny College At Purchase,34.504014,-82.650367
University Of Maryland College Park,38.968258,-76.953963
"Cary Institute Of Ecosystem Studies, Inc.",41.784502,-73.734142
Keweenaw Bay Ojibwa Community College,46.85907,-88.48137
Marquette University,42.909777,-87.860758
"Lumedica, Inc",36.014157,-78.909258
Aaniiih Nakoda College,48.484465,-108.759615
Blusphinx Inc,30.171311,-97.850639
National Girls Collaborative,38.900012,-77.038839
Georgia Institute Of Technology,26.35051,-80.086462
University Of California - Los Angeles,42.260782,-83.729872
Medical College Of Wisconsin,43.043707,-88.021954
University Of California Santa Cruz,36.97331,-122.027166
Texas A&M University Corpus Christi,27.763557,-97.403291
Field Museum Of Natural History,41.866327,-87.616871
University Of Maryland,42.009346,-93.638611
U.c. Berkeley,42.365588,-71.104
"University Of Illinois, Urbana-Champage",40.112444,-88.207412
Oglala Lakota College,43.366051,-102.240326
Regenx Llc,42.724157,-71.48937
Whitworth University,47.75337,-117.417025
"Georgia Southern University Research And Service Foundation, Inc",32.44894,-81.783414
Hubbard Brook Research Foundation,39.868971,-104.984201
Kennesaw State University Research And Service Foundation,34.022741,-84.615276
Eckerd College,27.714168,-82.686685
Hera Global Tech Inc.,40.432877,-79.891831
Atlanta Botanical Garden,40.367703,-99.471884
Eastern Michigan University,42.241083,-83.613098
Lawrence Berkeley National Labortatory,37.85096,-122.27077
"U.s. Coast Guard, Department Of Homeland Security",38.90253,-77.039386
University Of Vermont & State Agricultural College,44.478348,-73.201227
University Of Nebraska--Lincoln,42.27333,-83.738217
Chaminade University Of Honolulu,21.29,-157.807718
Haverford College,40.011742,-75.299358
Colorado School Of Mines,39.755407,-105.221342
Suny College At Fredonia,42.43998,-79.331435
Infinite Cooling Inc.,43.073198,-89.38219
Ziker Enterprises Llc,37.282805,-121.878506
Climateai Inc,37.787649,-122.391842
Thermocap Laboratories Inc,45.417247,-122.623197
Topos Institute,37.8704,-122.268562
"Precision Surface Science, Llc",41.07236,-81.5195
University Of California San Diego (Ucsd),32.748448,-117.129881
"Learning Network, Llc, The",33.12757,-96.680659
Oklahoma State Regents For Higher Education,35.473436,-97.503466
"The Graduate Center, City University Of New York",40.712749,-74.005994
University Of California Los Angeles (Ucla),38.544728,-121.740364
Westminster University,40.741458,-111.838062
American Sociological Assoc,40.30268,-80.06325
"Coremap, Inc.",44.56581,-73.19055
Aclarity Inc.,42.158598,-71.39336
"University Of California, Santa Cruz",37.864891,-122.267483
Pacific Resources For Education And Learning,21.308499,-157.861535
"University Of California, Merced",45.716346,-122.651529
Ocella Inc,38.904704,-86.919206
History Of Science Society,39.948945,-75.146507
City University Of New York,40.712749,-74.005994
"Terraferma Foods, Inc.",37.758788,-122.390959
Washington University In St. Louis,38.658646,-87.172337
"Travera, Inc.",42.41564,-71.126633
Nativus Inc,39.51822,-119.737569
Zebramd Inc.,34.21181,-118.65865
"Soliyarn, Llc",42.398349,-71.174896
"Combplex, Inc.",42.42923,-76.437631
University Of Mississippi,34.84159,-88.933224
Ared Llc,56.465734,-132.375849
"Spectacular Labs, Inc.",37.908254,-122.345253
California State University-Long Beach Foundation,33.781165,-118.110205
Texas Woman's University,33.22587,-97.12883
Axpro Semi,37.33813,-122.04916
Midwestern University,41.827363,-87.999288
Regents Of The University Of Idaho,46.72729,-117.02444
Usgs Cascades Volcano Observatory,33.414772,-111.932218
"Avanpore, Llc",42.500272,-71.129772
Museum Associates,34.063603,-118.358993
Chapman University,33.78788,-117.852422
"Femtosenselabs, Llc",40.464661,-86.928159
Aerospace Corporation,33.915963,-118.382099
University Of Southern Maine,43.655927,-70.2525
Missouri State University,37.198563,-93.27858
The Learning Partnership,41.805563,-87.898153
United States Coast Guard Academy Sponsored Programs And Researc,41.354424,-72.09514
"Meteora3d, Incorporated",39.12711,-84.50226
"Air Force, United States Department Of The",33.919035,-118.381157
Pi Radio Inc,40.654769,-73.95837
"Bhouri, Mohamed Aziz",40.798508,-73.967127
"Nevada System Of Higher Education, Desert Research Institute",39.572068,-119.800859
Saint John's University,30.068127,-81.494671
"Guardion, Inc.",42.47808,-71.19022
Donald Danforth Plant Science Center,38.627464,-90.19835
William Jewell College,39.244747,-94.419413
University Of Wisconsin-Superior,46.705864,-92.08988
Chicago State University,41.719498,-87.610944
"Altrix Medical, Inc.",38.8362,-77.48379
Northern Illinois University,41.930854,-88.780482
Caza Health Llc,38.14421,-78.49366
Susquehanna University,40.799821,-76.87039
Pensacola Junior College,30.409666,-87.215123
University Of Illinois At Springfield,39.799463,-89.64937
Xn Health Inc.,40.734463,-74.179968
Vivosphere Llc,32.586824,-85.493162
Pinwheel Solar Llc,42.09269,-76.01024
Tennessee Technological University,36.174545,-85.504086
Bates College,44.097602,-70.216911
Chatham College,40.439375,-79.996754
Texas A&M University-San Antonio,29.424534,-98.491484
Texas A&M University - Central Texas,31.087258,-97.790805
Carthage College,42.58464,-87.822164
"Wave Logix, Inc.",40.450427,-86.903648
Franklin And Marshall College,40.039544,-76.305975
Solvus Global Llc,42.278325,-71.799355
"Thermaquil, Inc.",40.044676,-75.408052
Stillman College,33.200442,-87.585387
Indigenous Education Institute,48.48295,-123.03838
Restore America's Estuaries,38.897756,-77.02922
Anderson University,34.5139,-82.63887
American Museum Natural History,40.782464,-73.96549
Ecate Llc,34.139882,-118.34132
University Of Wisconsin-Eau Claire,44.798773,-91.500976
University Of Louisville Research Foundation Inc,38.215546,-85.760651
Turtle Mountain Community College,48.883736,-99.750377
Office Of Personnel Management,39.952467,-75.15058
School Board Of Broward County Florida,26.11458,-80.139639
Helios Pompano Inc,29.650009,-82.332757
Bowdoin College,44.036349,-69.970487
Arkansas State University Main Campus,35.84239,-90.68011
Connecticut College,41.37215,-72.10001
"Macrocosm, Inc.",40.646568,-73.976805
University Of Houston - Downtown,29.7661,-95.359187
Texas Christian University,32.706635,-97.363234
Texas State University - San Marcos,29.883057,-97.941453
Corlens Inc.,39.480105,-87.340605
"Duet Biosystems, Inc",36.125364,-86.793233
Wild Microbes Co,42.365588,-71.104
"Brightlight Photonics, Inc",42.371522,-71.085219
American Council Of Learned Societies,40.749732,-73.974812
Rutgers University Newark,40.75195,-74.159062
Broome Community College,42.13753,-75.905419
Chemeketa Community College,40.07551,-95.720475
Grambling State University,32.527341,-92.714072
Superior Nano Llc,44.97106,-93.20407
"Cal Poly Pomona Foundation, Inc.",34.054199,-117.819263
Loyola University Of Chicago,41.897386,-87.625009
Codeva,37.544158,-77.438913
Alamo Community College District Northeast Lakeview College,29.54505,-98.323251
"Activsignal, Llc",42.40541,-71.18639
Transcend Inc,40.994476,-73.864912
University Of Dallas,32.846343,-96.919609
Department Of Energy Oak Ridge Operations Office,36.010294,-84.269567
Center For The Future Of Arizona,33.451015,-112.066732
"University Of Texas, M.d. Anderson Cancer Center",29.760496,-95.363433
Designer Ecosystems Llc,38.81688,-77.11662
Nanograss Solar Llc,40.09295,-75.20648
Hawaii Pacific University,21.308499,-157.861535
"Bender Tech, Llc",35.779056,-78.632988
Suny College At Potsdam,44.662034,-74.974058
American Institutes For Research In The Behavioral Sciences,39.641315,-85.576133
Mgh Institute Of Health Professions,42.374924,-71.053991
"Metalmark Innovations, Pbc",42.392855,-71.153295
Fullerton College,33.875813,-117.919611
Artemis Intelligence Llc,41.479032,-81.863116
Ball State University,40.199873,-85.418494
"Flex Orthopaedics, Inc.",34.14436,-118.7129
Limelight Steel Inc.,37.81418,-122.288371
Wested,37.782181,-122.398468
Sostos Llc,39.66252,-79.983031
Hamilton College,40.34462,-86.617935
Missouri Botanical Garden,38.612845,-90.259422
National Archives And Records Administration,39.000636,-76.95958
Youngstown State University,44.14629,-93.99432
Grand Valley State University,41.720213,-79.538381
University Of Missouri-Saint Louis,38.707714,-90.310675
Tides Center,37.779238,-122.419359
Suny College At Old Westbury,40.788744,-73.599744
"Ikona, Inc.",40.745937,-73.983956
The College Board,40.714133,-74.0157
University Of South Dakota Main Campus,42.779403,-96.932059
Macalester College,44.948228,-93.091634
Couture Technologies Llc,36.3391,-86.42703
Encapsulate Llc,41.731915,-72.800155
Asante Bio Llc,36.89618,-76.31269
"Schnackel Engineers, Inc",41.23134,-96.02342
Suny College Of Environmental Science And Forestry,43.035143,-76.1369
Black Hills State University,44.490622,-103.859131
"Piezo Therapeutics, Inc.",34.101175,-84.171098
Creighton University,37.07436,-119.699375
"Spearstone Solutions, Llc",33.511837,-86.812524
Delaware State University,39.1881,-75.54014
Bryn Mawr College,40.03059,-75.3156
Sitting Bull College,46.086296,-100.670534
Minot State University,48.246901,-101.298698
Valley City State University,46.94663,-97.996666
Mayville State University,41.863733,-99.959547
Jstor,40.709723,-74.01054
Department Of Health & Human Services,38.886821,-77.016384
Arkansas Research Alliance,34.733966,-92.272801
"Cache Dna, Inc.",37.50938,-122.25305
"Box Robotics, Inc.",39.939511,-75.177346
Nueta Hidatsa Sahnish College,47.980698,-102.47192
Spotless Materials Inc.,40.831264,-77.843084
Center For Strategic And International Studies Inc,38.90253,-77.039386
Illinois Institute Of Technology,41.881953,-87.632362
"Harrisburg University Of Science And Technology, The",40.259614,-76.881871
"New Equilibrium Biosciences, Inc.",42.358625,-71.06253
Cuny City College,40.819844,-73.950311
Lac Courte Oreilles Ojibwa Community College,45.942396,-91.36525
"Marani Health, Inc.",45.000328,-92.949162
V1 Engineering Llc,47.530845,-122.382589
Echo Mind Ai Corp.,39.548542,-104.971493
Colgate University,37.936386,-88.60961
Baylor College Of Medicine,29.710557,-95.396054
Earlham College,39.824294,-84.911855
Elizabethtown College,40.14922,-76.59325
Landmark College,29.962424,-90.221979
D'youville College,42.902431,-78.890656
University Of Alaska Southeast Juneau Campus,58.300351,-134.408259
Ursinus College,40.195198,-75.457487
Cpr Therapeutics Inc.,42.991068,-72.585488
"Habitaware, Inc.",44.977557,-93.263754
Louisiana Board Of Regents,30.459728,-91.188442
Suny College At Brockport,43.20996,-77.952141
College Of Our Lady Of The Elms,37.208835,-93.292489
Union College,42.813498,-73.939265
Nassau Community College,40.729818,-73.59239
Hampton University,37.021281,-76.336682
Bennington College,42.878354,-73.197131
Southern Oregon University,42.197079,-122.714565
Central Washington University,47.00032,-120.54219
Dakota State University,44.012674,-97.110073
United Tribes Technical College,46.76854,-100.756726
Flathead Valley Community College,48.196808,-114.313108
Montclair State University,40.5104,-88.984531
Christopher Newport University,41.489629,-71.312658
"University Of California, San Diego",32.713623,-117.16016
Wellesley College,42.292671,-71.308631
University Of Colorado At Colorado Springs,38.83242,-104.821879
College Of The Holy Cross,42.602242,-90.995969
Cuny College Of Staten Island,40.58337,-74.149643
"Blueshift, Llc",39.915396,-105.090065
The University Of Montana-Western,45.216488,-112.63571
University Of Indianapolis,39.709555,-86.136642
Gannon University,42.95307,-78.82377
Icahn School Of Medicine At Mount Sinai,40.946956,-73.029586
Marywood University,41.433406,-75.637184
Association Of American Geographers,38.899345,-77.039811
"Augusta University Research Institute, Inc.",45.478381,-94.153613
California State University-Dominguez Hills Foundation,33.863853,-118.25595
University Of New Haven,41.290999,-72.961069
U.s. Army Corps Of Engineers,35.328604,-89.872593
Western Washington University,48.750442,-122.480222
Christian Brothers University,35.127893,-89.981251
Gallaudet University,41.397607,-96.208061
Colby College,41.500685,-83.719846
Research Foundation Cuny - Advanced Science Research Center,40.817116,-73.948006
Community College District 502,41.842178,-88.076436
"Maverick Space Systems, Inc.",35.245144,-120.670201
Spira Inc,38.849436,-77.196531
Ohio Northern University,40.770319,-83.823236
Davidson College,43.01093,-83.53957
Rejoule Incorporated,33.80943,-118.17368
Dominican University New York,41.04727,-73.95053
Siena Heights University,41.9069,-84.018309
Crypto Asset Technology Labs Inc,25.974741,-80.142819
Santa Fe Institute,35.70041,-105.908579
National Academy Of Sciences,38.892986,-77.047715
Lafayette College,30.222907,-92.018777
"Opticalx, Llc",37.774643,-121.359263
Monroe Community College,43.101107,-77.610238
Norwalk Community College,41.102661,-73.450398
Rose-Hulman Institute Of Technology,39.483119,-87.321115
California Polytechnic State University Foundation,35.300931,-120.65854
Morningside University,42.474444,-96.359875
