INSTNM,INSTURL
California State University-Fullerton,www.fullerton.edu/
California State University-East Bay,https://www.csueastbay.edu/
California State University-Long Beach,www.csulb.edu/
California State University-Los Angeles,https://www.calstatela.edu/
California State University-Northridge,https://www.csun.edu/
California State University-Sacramento,https://www.csus.edu/
University of California-Berkeley,www.berkeley.edu/
University of California-Davis,ucdavis.edu/
University of California-Irvine,www.uci.edu/
University of California-Los Angeles,www.ucla.edu/
University of California-Riverside,www.ucr.edu/
University of California-San Diego,www.ucsd.edu/
University of California-San Francisco,ucsf.edu/
University of California-Santa Barbara,www.ucsb.edu/
University of California-Santa Cruz,www.ucsc.edu/
Sofia University,www.sofia.edu/
California Beauty School,www.calbeautycollege.edu/
Haven University,www.haven.edu/
California Hair Design Academy,https://chdaschools.com/
California Institute of the Arts,https://www.calarts.edu/
California State University Maritime Academy,https://www.csum.edu/
California Western School of Law,https://www.cwsl.edu/
Canada College,canadacollege.edu/
College of the Canyons,www.canyons.edu/
Career Academy of Beauty,caofb.com/
Casa Loma College-Los Angeles,https://www.casalomacollege.edu/
CET-San Diego,https://www.cetweb.edu/
CET-San Jose,https://cetweb.edu/
CET-El Centro,https://cetweb.edu/
CET-Colton,https://cetweb.edu/
CET-Watsonville,https://www.cetweb.edu/
CET-Salinas,https://cetweb.edu/
Cerritos College,www.cerritos.edu/
Cerro Coso Community College,https://cerrocoso.edu/
Chabot College,www.chabotcollege.edu/
Chaffey College,https://www.chaffey.edu/
Chapman University,https://www.chapman.edu/
Charles R Drew University of Medicine and Science,www.cdrewu.edu/
Concordia University-Irvine,www.cui.edu/
San Diego Christian College,sdcc.edu/
Church Divinity School of the Pacific,www.cdsp.edu/
Citrus College,https://www.citruscollege.edu/
Citrus Heights Beauty College,chbeautycollege.com/
City College of San Francisco,www.ccsf.edu/
Claremont Graduate University,www.cgu.edu/
Claremont McKenna College,www.cmc.edu/
Milan Institute-Visalia,www.milaninstitute.edu/
Clovis Adult Education,clovisadult.cusd.com/
Coastline Community College,www.coastline.edu/
University of Silicon Valley,https://usv.edu/
Coba Academy,www.coba.edu/
Western University of Health Sciences,www.westernu.edu/
Columbia College,https://www.gocolumbia.edu/
California College of ASU,https://www.columbiacollege.edu/
Compton College,www.compton.edu/
Contra Costa College,https://www.contracosta.edu/
Cosumnes River College,https://www.crc.losrios.edu/
Crafton Hills College,www.craftonhills.edu/
Cuesta College,https://www.cuesta.edu/
Cuyamaca College,https://www.cuyamaca.edu/
Cypress College,www.cypresscollege.edu/
De Anza College,https://www.deanza.edu/
International School of Beauty Inc,https://btyschool.com/
College of the Desert,www.collegeofthedesert.edu/
Design Institute of San Diego,www.disd.edu/
Dharma Realm Buddhist University,https://drbu.edu/
Diablo Valley College,https://www.dvc.edu/
Dominican University of California,https://www.dominican.edu/
Dominican School of Philosophy & Theology,https://www.dspt.edu/
East Los Angeles College,www.elac.edu/
El Camino Community College District,www.elcamino.edu/
Emperor's College of Traditional Oriental Medicine,www.emperors.edu/
Empire College,https://empcol.edu/
Evergreen Valley College,https://www.evc.edu/
FIDM-Fashion Institute of Design & Merchandising,www.fidm.edu/
Feather River Community College District,www.frc.edu/
Federico Beauty Institute,federico.edu/
Fielding Graduate University,www.fielding.edu/
Five Branches University,www.fivebranches.edu/
Redondo Beach Beauty College,rbbeautycollege.com/
Foothill College,https://foothill.edu/
Franciscan School of Theology,www.fst.edu/
Fredrick and Charles Beauty College,www.fandcbeauty.com/
Fresno City College,www.fresnocitycollege.edu/
Fresno Pacific University,www.fresno.edu/
Fuller Theological Seminary,www.fuller.edu/
Fullerton College,www.fullcoll.edu/
Gavilan College,https://www.gavilan.edu/
Gemological Institute of America-Carlsbad,www.gia.edu/gem-education
Glendale Community College,https://www.glendale.edu/
Glendale Career College,www.success.edu/
Golden Gate University,www.ggu.edu/
Golden West College,www.goldenwestcollege.edu/
Graduate Theological Union,www.gtu.edu/
Grossmont College,https://www.grossmont.edu/
Salon Success Academy-Riverside,www.salonsuccessacademy.com/
Hartnell College,www.hartnell.edu/
Harvey Mudd College,https://www.hmc.edu/
Hilltop Beauty School,www.hilltopbeautyschool.com/
Pacifica Graduate Institute,www.pacifica.edu/
California State Polytechnic University-Humboldt,www.humboldt.edu/
Humphreys University-Stockton and Modesto Campuses,www.humphreys.edu/
Imperial Valley College,www.imperial.edu/
Institute for Business and Technology,https://ibt.edu/
Interior Designers Institute,https://www.idi.edu/
Irvine Valley College,https://www.ivc.edu/
Bellus Academy-El Cajon,www.bellusacademy.edu/
American Jewish University,www.aju.edu/
Reedley College,www.reedleycollege.edu/
Life Pacific University,https://lifepacific.edu/
University of La Verne,https://www.laverne.edu/
Laguna College of Art and Design,www.lcad.edu/
Lake Tahoe Community College,www.ltcc.edu/
Lancaster Beauty School,www.lancasterbeautyschool.com/
Laney College,laney.edu/
Lassen Community College,www.lassencollege.edu/
Latin American Bible Institute,labi.edu/
Life Chiropractic College West,www.lifewest.edu/
Lincoln University,https://lincolnuca.edu/
Southern California Seminary,www.socalsem.edu/
La Sierra University,https://lasierra.edu/
Loma Linda University,www.llu.edu/index.html
Long Beach City College,www.lbcc.edu/
Southern California University of Health Sciences,https://www.scuhs.edu/
Los Angeles Harbor College,https://www.lahc.edu/
Los Angeles Pierce College,www.lapc.edu/
Los Angeles Southwest College,https://www.lasc.edu/
Los Angeles Trade Technical College,www.lattc.edu/
Los Angeles Valley College,www.lavc.edu/
The Master's University and Seminary,www.masters.edu/
Los Angeles City College,www.lacitycollege.edu/
Los Angeles County College of Nursing and Allied Health,https://dhs.lacounty.gov/college-of-nursing-and-allied-health/
Los Angeles Mission College,https://www.lamission.edu/
Los Medanos College,https://www.losmedanos.edu/
Loyola Marymount University,https://www.lmu.edu/
Lu Ross Academy,www.lurossacademy.com/
Lyle's College of Beauty,lylescolleges.com/
Lyle's College of  Beauty,lylescolleges.com/
Lytles Redwood Empire Beauty College,www.lytlesrebc.edu/
MTI College,campus.edu/
College of Marin,www.marin.edu/
Mendocino College,www.mendocino.edu/
Menlo College,www.menlo.edu/
Merced College,www.mccd.edu/
Merritt College,www.merritt.edu/
Northeastern University Oakland,https://oakland.northeastern.edu/
MiraCosta College,www.miracosta.edu/
Mission College,www.missioncollege.edu/
Modern Beauty Academy,www.modernbeautyacademy.org/
Modesto Junior College,https://www.mjc.edu/
Moler Barber College,moler.org/
Middlebury Institute of International Studies at Monterey,https://www.middlebury.edu/institute/
Monterey Peninsula College,www.mpc.edu/
Moorpark College,www.moorparkcollege.edu/index.shtml
Mt San Antonio College,www.mtsac.edu/
Mount Saint Mary's University,https://www.msmu.edu/
Mt San Jacinto Community College District,www.msjc.edu/
Musicians Institute,www.mi.edu/
Napa Valley College,https://www.napavalley.edu/
National Holistic Institute,www.nhi.edu/
National University,www.nu.edu/
Naval Postgraduate School,https://www.nps.edu/
Newschool of Architecture and Design,www.newschoolarch.edu/
North Adrian's College of Beauty Inc,www.adrians.edu/
North-West College-Pomona,www.north-westcollege.edu/
North-West College-West Covina,https://www.nw.edu/locations/west-covina-campus/
North-West College-Van Nuys,www.north-westcollege.edu/
San Francisco Bay University,https://www.sfbu.edu/
Notre Dame de Namur University,www.ndnu.edu/
Occidental College,https://www.oxy.edu/
Ohlone College,www.ohlone.edu/
Orange Coast College,orangecoastcollege.edu/
Otis College of Art and Design,www.otis.edu/
Oxnard College,www.oxnardcollege.edu/
Hope International University,www.hiu.edu/
Concorde Career College-San Diego,https://www.concorde.edu/campus/san-diego-california
Palo Alto University,www.paloaltou.edu/
Pacific Oaks College,https://www.pacificoaks.edu/
Pacific School of Religion,www.psr.edu/
Pacific States University,www.psuca.edu/
Pacific Union College,https://www.puc.edu/
University of the Pacific,www.pacific.edu/
Palo Verde College,https://www.paloverde.edu/
Palomar College,www2.palomar.edu/
Pasadena City College,pasadena.edu/
Pepperdine University,www.pepperdine.edu/
Pitzer College,https://www.pitzer.edu/
Point Loma Nazarene University,www.pointloma.edu/
Pomona College,www.pomona.edu/
Porterville College,https://www.portervillecollege.edu/
Professional Institute of Beauty,www.pib.edu/
Santa Ana College,www.sac.edu/
Pardee RAND Graduate School,www.pardeerand.edu/
Shasta School of Cosmetology,www.shastaschoolofcosmetology.com/
University of Redlands,www.redlands.edu/
College of the Redwoods,https://www.redwoods.edu/
Salon Success Academy-Upland,www.salonsuccessacademy.com/
Salon Success Academy-Corona,www.salonsuccessacademy.com/
Rio Hondo College,www.riohondo.edu/
Riverside City College,www.rcc.edu/
Dongguk University Los Angeles,www.dula.edu/
Sacramento City College,https://www.scc.losrios.edu/
Saddleback College,https://www.saddleback.edu/
Samuel Merritt University,www.samuelmerritt.edu/
San Diego City College,www.sdcity.edu/
San Diego Mesa College,www.sdmesa.edu/
San Diego Miramar College,www.sdmiramar.edu/
San Diego State University,www.sdsu.edu/
University of San Diego,www.sandiego.edu/
San Francisco Conservatory of Music,https://sfcm.edu/
San Francisco State University,www.sfsu.edu/
University of San Francisco,https://www.usfca.edu/
San Joaquin College of Law,www.sjcl.edu/
San Joaquin Delta College,www.deltacollege.edu/
San Joaquin Valley College-Visalia,www.sjvc.edu/
San Joaquin Valley College-Bakersfield,www.sjvc.edu/
William Jessup University,www.jessup.edu/
San Jose City College,www.sjcc.edu/
San Jose State University,www.sjsu.edu/
College of San Mateo,www.collegeofsanmateo.edu/
Santa Barbara City College,www.sbcc.edu/
Santa Clara University,www.scu.edu/
Santa Monica College,https://www.smc.edu/
Santa Rosa Junior College,www.santarosa.edu/
Saybrook University,https://www.saybrook.edu/
Scripps College,www.scrippscollege.edu/
College of the Sequoias,https://www.cos.edu/
Shasta Bible College and Graduate School,www.shasta.edu/
Shasta College,https://www.shastacollege.edu/
Sierra College,https://www.sierracollege.edu/
Sierra College of Beauty,sierrabeautycollege.net/blog3/
Trinity Law School,https://www.tiu.edu/law
Simpson University,www.simpsonu.edu/
College of the Siskiyous,www.siskiyous.edu/
Charles A Jones Career and Education Center,www.caj.scusd.edu/
Skyline College,skylinecollege.edu/
San Bernardino Valley College,www.valleycollege.edu/
Saint Mary's College of California,https://www.stmarys-ca.edu/
Solano Community College,welcome.solano.edu/
Sonoma State University,https://sonoma.edu/
South Baylo University,www.southbaylo.edu/
South Coast College,www.southcoastcollege.edu/
Vanguard University of Southern California,https://www.vanguard.edu/
Concorde Career College-Garden Grove,https://www.concorde.edu/campus/garden-grove-california
Southwestern College,https://www.swccd.edu/
Starr King School for the Ministry,https://www.sksm.edu/
Marshall B Ketchum University,www.ketchum.edu/
Southern California Institute of Architecture,www.sciarc.edu/
University of Southern California,www.usc.edu/
Southwestern Law School,https://www.swlaw.edu/
Taft College,www.taftcollege.edu/
Claremont School of Theology,www.cst.edu/
Thomas Aquinas College,https://thomasaquinas.edu/
Epic Bible College & Graduate School,epic.edu/
UEI College-Huntington Park,https://www.uei.edu/
Concorde Career College-San Bernardino,https://www.concorde.edu/campus/san-bernardino-california
Concorde Career College-North Hollywood,https://www.concorde.edu/campus/north-hollywood-california
Ventura College,www.venturacollege.edu/
The Colleges of Law at Ventura,https://www.collegesoflaw.edu/
Bridges Beauty College,www.bridgesbeautycollege.com/
Victor Valley College,www.vvc.edu/
Berkeley City College,www.berkeleycitycollege.edu/
Walden University,www.waldenu.edu/
Waynes College of Beauty,www.waynescollegeofbeauty.com/
Coalinga College,https://www.westhillscollege.com/coalinga/
West Los Angeles College,www.wlac.edu/
West Valley College,www.westvalley.edu/
Carrington College-Sacramento,https://carrington.edu/
Westminster Theological Seminary in California,www.wscal.edu/
Westmont College,www.westmont.edu/
Whittier College,www.whittier.edu/
Woodbury University,https://woodbury.edu/
The Wright Institute,www.wi.edu/
Thomas Jefferson School of Law,www.tjsl.edu/
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,www.yoec.edu/
Yuba College,https://yc.yccd.edu/
Adams State University,www.adams.edu/
Aims Community College,www.aims.edu/
Arapahoe Community College,www.arapahoe.edu/
Bel-Rea Institute of Animal Technology,www.belrea.edu/
University of Colorado Denver/Anschutz Medical Campus,www.ucdenver.edu/
University of Colorado Colorado Springs,https://www.uccs.edu/
Spartan College of Aeronautics and Technology,www.spartan.edu/
University of Colorado Boulder,www.colorado.edu/
Colorado Christian University,https://www.ccu.edu/
Colorado College,www.coloradocollege.edu/
Concorde Career College-Aurora,https://www.concorde.edu/campus/aurora-colorado
Colorado Mountain College,coloradomtn.edu/
Colorado Northwestern Community College,www.cncc.edu/
Colorado School of Mines,www.mines.edu/
Colorado School of Trades,https://schooloftrades.edu/
Colorado State University-Fort Collins,colostate.edu/
Colorado Technical University-Colorado Springs,www.coloradotech.edu/Colorado-Springs
Community College of Aurora,https://www.ccaurora.edu/
Technical College of the Rockies,www.tcr.edu/
Community College of Denver,www.ccd.edu/
Lincoln College of Technology-Denver,www.lincolntech.edu/campus/denver-co
Denver Seminary,www.denverseminary.edu/
University of Denver,www.du.edu/
Emily Griffith Technical College,www.emilygriffith.edu/
Fort Lewis College,fortlewis.edu/
Front Range Community College,https://www.frontrange.edu/
Iliff School of Theology,www.iliff.edu/
International Salon and Spa Academy,https://www.csbeautyschools.com/
Lamar Community College,https://www.lamarcc.edu/
Colorado Mesa University,www.coloradomesa.edu/
Metropolitan State University of Denver,www.msudenver.edu/
Morgan Community College,https://www.morgancc.edu/
Naropa University,https://www.naropa.edu/
Nazarene Bible College,www.nbc.edu/
Northeastern Junior College,www.njc.edu/
University of Northern Colorado,https://www.unco.edu/
Otero College,www.otero.edu/
Pikes Peak State College,https://www.pikespeak.edu/
Pueblo Community College,www.pueblocc.edu/
Red Rocks Community College,www.rrcc.edu/
Regis University,https://www.regis.edu/
Rocky Mountain College of Art and Design,www.rmcad.edu/
Montessori Education Center of the Rockies,www.mecr.edu/
Colorado State University Pueblo,https://www.csupueblo.edu/
Pickens Technical College,www.pickenstech.org/
Intellitec College-Colorado Springs,intellitec.edu/
Intellitec College-Grand Junction,intellitec.edu/
Trinidad State College,www.trinidadstate.edu/
United States Air Force Academy,www.usafa.edu/
Empire Beauty School-Thornton,www.empire.edu/
Western Colorado University,www.western.edu/
Albertus Magnus College,https://www.albertus.edu/
Bais Binyomin Academy,https://baisbinyominacademy.com/
University of Bridgeport,www.bridgeport.edu/
Central Connecticut State University,www.ccsu.edu/
Charter Oak State College,https://www.charteroak.edu/
Cortiva Institute,www.cortiva.edu/
Connecticut College,www.conncoll.edu/
Porter & Chester Institute of Hamden,www.porterchester.edu/
University of Connecticut,uconn.edu/
Goodwin University,www.goodwin.edu/
Lincoln Technical Institute-East Windsor,www.lincolntech.edu/campus/east-windsor-ct
Eastern Connecticut State University,https://www.easternct.edu/
Fairfield University,fairfield.edu/
Paul Mitchell the School-North Haven,paulmitchell.edu/northhaven
Connecticut State Community College,https://ctstate.edu/
Rensselaer at Hartford,ewp.rpi.edu/index.html
American Institute-West Hartford,americaninstitute.edu/
Hartford International University for Religion and Peace,www.hartfordinternational.edu/
University of Hartford,www.hartford.edu/
Holy Apostles College and Seminary,www.holyapostles.edu/
Mitchell College,https://www.mitchell.edu/
Lincoln Technical Institute-New Britain,www.lincolntech.edu/campus/new-britain-ct
New England Tractor Trailer Training School of Connecticut,www.nettts.com/
University of New Haven,www.newhaven.edu/
Paier College,www.paier.edu/
Porter & Chester Institute,www.porterchester.edu/
Post University,www.post.edu/
Quinnipiac University,www.qu.edu/
Sacred Heart University,https://www.sacredheart.edu/
University of Saint Joseph,https://www.usj.edu/
Southern Connecticut State University,www.southernct.edu/
Trinity College,https://www.trincoll.edu/
United States Coast Guard Academy,https://www.uscga.edu/
Wesleyan University,https://www.wesleyan.edu/
Western Connecticut State University,https://www.wcsu.edu/
Yale University,https://www.yale.edu/
Margaret H Rollins School of Nursing at Beebe Medical Center,www.beebehealthcare.org/school-nursing
Dawn Career Institute LLC,https://www.dawncareerinstitute.edu/
Delaware Technical Community College-Terry,https://www.dtcc.edu/
Delaware State University,www.desu.edu/
University of Delaware,www.udel.edu/
Goldey-Beacom College,www.gbc.edu/
Schilling-Douglas School of Hair Design,schillingdouglas.edu/
Wilmington University,www.wilmu.edu/
American University,www.american.edu/
The Catholic University of America,https://www.catholic.edu/
University of the District of Columbia,www.udc.edu/
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,www.dhs.edu/
Gallaudet University,www.gallaudet.edu/
George Washington University,https://www.gwu.edu/
Georgetown University,www.georgetown.edu/
Howard University,www.howard.edu/
Strayer University-District of Columbia,www.strayer.edu/campus-locations/district-columbia/washington
National Conservatory of Dramatic Arts,www.theconservatory.org/
Trinity Washington University,www.trinitydc.edu/
Wesley Theological Seminary,www.wesleyseminary.edu/
Atlantic Technical College,www.atlantictechnicalcollege.edu/
Baptist University of Florida,www.buf.edu/
Barry University,www.barry.edu/
Bethune-Cookman University,https://www.cookman.edu/
Lynn University,https://www.lynn.edu/
North Florida Technical College,www.nftc.edu/
Eastern Florida State College,www.easternflorida.edu/
Broward College,www.broward.edu/
Albizu University-Miami,https://www.albizu.edu/
College of Central Florida,www.cf.edu/
Johnson University Florida,johnsonu.edu/
University of Central Florida,www.ucf.edu/
Charlotte Technical College,www.charlottetechcollege.net/ctc
Chipola College,https://www.chipola.edu/
Lorenzo Walker Technical College,lwtc.edu/
Daytona State College,www.daytonastate.edu/
South University-West Palm Beach,"www.southuniversity.edu/west-palm-beach#location=West Palm Beach, FL"
Eckerd College,https://www.eckerd.edu/
Florida SouthWestern State College,https://www.fsw.edu/
Edward Waters University,www.ew.edu/
Embry-Riddle Aeronautical University-Daytona Beach,daytonabeach.erau.edu/
Florida Agricultural and Mechanical University,www.famu.edu/
Florida Atlantic University,www.fau.edu/
Florida State College at Jacksonville,www.fscj.edu/
Flagler College,https://www.flagler.edu/
Florida College,www.floridacollege.edu/
Concorde Career Institute-Jacksonville,https://www.concorde.edu/campus/jacksonville-florida
Concorde Career Institute-Miramar,https://www.concorde.edu/campus/miramar-florida
Concorde Career Institute-Tampa,https://www.concorde.edu/campus/tampa-florida
AdventHealth University,www.ahu.edu/
Florida Institute of Technology,https://www.fit.edu/
Florida International University,www.fiu.edu/
The College of the Florida Keys,https://www.cfk.edu/
Florida Memorial University,www.fmuniv.edu/
Florida Career College-Miami,https://www.floridacareercollege.edu/
Florida School of Massage,floridaschoolofmassage.com/
Florida Southern College,www.flsouthern.edu/
Florida State University,https://www.fsu.edu/
University of Florida,https://www.ufl.edu/
Fort Pierce Beauty Academy,fpbeauty.com/
Full Sail University,www.fullsail.edu/
George Stone Technical College,www.georgestonecollege.edu/
George T Baker Aviation Technical College,https://www.bakeraviationtechcollege.com/
Gulf Coast State College,https://gulfcoast.edu/
Key College,www.keycollege.edu/
Hillsborough Community College,https://www.hccfl.edu/
Hobe Sound Bible College,https://hsbc.edu/
Hollywood Institute of Beauty Careers,www.hi.edu/
Cortiva Institute,www.cortiva.com/
Indian River State College,www.irsc.edu/
International Academy,www.intl-academy.com/
Jacksonville University,https://www.ju.edu/index.php
